value,name,bgg_id,date,type,classification
Area Movement,Axis & Allies,98,1/2/2024,classification,boardgamemechanic
Dice Rolling,Axis & Allies,98,1/2/2024,classification,boardgamemechanic
Minimap Resolution,Axis & Allies,98,1/2/2024,classification,boardgamemechanic
Stat Check Resolution,Axis & Allies,98,1/2/2024,classification,boardgamemechanic
Team-Based Game,Axis & Allies,98,1/2/2024,classification,boardgamemechanic
Grid Movement,Paper Dungeons: A Dungeon Scrawler Game,291962,1/2/2024,classification,boardgamemechanic
Line Drawing,Paper Dungeons: A Dungeon Scrawler Game,291962,1/2/2024,classification,boardgamemechanic
Paper-and-Pencil,Paper Dungeons: A Dungeon Scrawler Game,291962,1/2/2024,classification,boardgamemechanic
Set Collection,Paper Dungeons: A Dungeon Scrawler Game,291962,1/2/2024,classification,boardgamemechanic
Simultaneous Action Selection,Paper Dungeons: A Dungeon Scrawler Game,291962,1/2/2024,classification,boardgamemechanic
Bias,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Grid Movement,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Hexagon Grid,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Race,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Resource to Move,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Tile Placement,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Variable Set-up,Ice Flow,31133,1/2/2024,classification,boardgamemechanic
Dice Rolling,Cube Quest,137330,1/2/2024,classification,boardgamemechanic
Flicking,Cube Quest,137330,1/2/2024,classification,boardgamemechanic
Pattern Building,Cube Quest,137330,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Stellar,293678,1/2/2024,classification,boardgamemechanic
Hand Management,Stellar,293678,1/2/2024,classification,boardgamemechanic
Open Drafting,Stellar,293678,1/2/2024,classification,boardgamemechanic
Set Collection,Stellar,293678,1/2/2024,classification,boardgamemechanic
Tile Placement,Stellar,293678,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,City of Iron: Second Edition,195503,1/2/2024,classification,boardgamemechanic
"Deck, Bag, and Pool Building",City of Iron: Second Edition,195503,1/2/2024,classification,boardgamemechanic
Hand Management,City of Iron: Second Edition,195503,1/2/2024,classification,boardgamemechanic
Dice Rolling,Catan Card Game,278,1/2/2024,classification,boardgamemechanic
Hand Management,Catan Card Game,278,1/2/2024,classification,boardgamemechanic
Open Drafting,Catan Card Game,278,1/2/2024,classification,boardgamemechanic
Auction/Bidding,Cash-a-Catch,28218,1/2/2024,classification,boardgamemechanic
Set Collection,Cash-a-Catch,28218,1/2/2024,classification,boardgamemechanic
Bingo,My Island,359394,1/2/2024,classification,boardgamemechanic
Variable Phase Order,VivaJava: The Coffee Game,103660,1/2/2024,classification,boardgamemechanic
Variable Player Powers,VivaJava: The Coffee Game,103660,1/2/2024,classification,boardgamemechanic
Worker Placement,VivaJava: The Coffee Game,103660,1/2/2024,classification,boardgamemechanic
Dice Rolling,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Grid Movement,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Hexagon Grid,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Movement Points,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Simulation,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Blackbeard,235,1/2/2024,classification,boardgamemechanic
Push Your Luck,Cheeky Monkey,29773,1/2/2024,classification,boardgamemechanic
Set Collection,Cheeky Monkey,29773,1/2/2024,classification,boardgamemechanic
Commodity Speculation,Modern Art Card Game,40381,1/2/2024,classification,boardgamemechanic
Hand Management,Modern Art Card Game,40381,1/2/2024,classification,boardgamemechanic
Cooperative Game,Legendary: A James Bond Deck Building Game,285157,1/2/2024,classification,boardgamemechanic
"Deck, Bag, and Pool Building",Legendary: A James Bond Deck Building Game,285157,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Legendary: A James Bond Deck Building Game,285157,1/2/2024,classification,boardgamemechanic
