value,name,bgg_id,date,type,classification
Move Through Deck,Linko,153065,1/2/2024,classification,boardgamemechanic
Open Drafting,Linko,153065,1/2/2024,classification,boardgamemechanic
Set Collection,Linko,153065,1/2/2024,classification,boardgamemechanic
Take That,Linko,153065,1/2/2024,classification,boardgamemechanic
Dice Rolling,Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
Hand Management,Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
Modular Board,Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
Worker Placement,Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
"Worker Placement, Different Worker Types",Dwellings of Eldervale,271055,1/2/2024,classification,boardgamemechanic
