users_rated,num_owners,max_players,bgg_rank,average_weight,average,min_players,year_published,name,max_playtime,min_playtime,bgg_id,date,type
39453,75598,5,66,1.9556,7.82698,2,2019,The Crew: The Quest for Planet Nine,20,20,284083,1/2/2024,details
40735,53466,4,79,2.2236,7.78495,2,2016,Clank!: A Deck-Building Adventure,60,30,201808,1/2/2024,details
102130,138387,7,89,2.3182,7.69038,2,2010,7 Wonders,30,30,68448,1/2/2024,details
13897,20403,4,123,2.5569,7.79425,2,2017,Clank! In! Space!: A Deck-Building Adventure,90,45,233371,1/2/2024,details
18918,20498,5,147,3.0014,7.65642,2,2012,Kemet,120,90,127023,1/2/2024,details
9083,11896,5,149,2.8458,7.89891,2,2018,Endeavor: Age of Sail,90,60,233398,1/2/2024,details
38906,42644,2,157,3.253,7.57108,2,1993,Magic: The Gathering,20,20,463,1/2/2024,details
4876,12481,4,292,1.8661,7.94906,1,2018,Star Realms: Frontiers,45,20,230253,1/2/2024,details
7620,8854,5,374,2.9056,7.50876,1,2012,Ginkgopolis,45,45,128271,1/2/2024,details
9756,15023,4,380,2.2977,7.42501,2,2020,Furnace,60,30,318084,1/2/2024,details
5015,10854,6,437,1.6356,7.69096,2,2020,King of Tokyo: Dark Edition,30,30,293141,1/2/2024,details
3636,5876,6,604,3.6343,7.66256,1,2012,Pax Porfiriana,120,120,128780,1/2/2024,details
4150,7914,4,617,4.0783,7.55435,1,2016,The Colonists,360,30,192836,1/2/2024,details
4272,6950,8,705,1.2642,7.40312,1,2019,Trails of Tucana,15,15,283864,1/2/2024,details
5809,9305,4,717,2.6864,7.24881,2,2002,Mexica,90,90,2955,1/2/2024,details
3780,4658,5,758,2.3125,7.42103,2,2018,The Estates,60,40,249381,1/2/2024,details
2790,8297,4,761,2.12,7.66549,1,2021,Railroad Ink Challenge: Lush Green Edition,30,15,306881,1/2/2024,details
2290,4466,2,851,3.2804,7.78132,2,2012,1989: Dawn of Freedom,150,150,26997,1/2/2024,details
19615,31930,12,993,1.3743,6.76661,4,2013,Concept,40,40,147151,1/2/2024,details
4336,5574,4,1012,2.7124,7.12854,1,2013,Legacy: The Testament of Duke de Crecy,60,60,52461,1/2/2024,details
3820,7618,4,1017,1.7556,7.23602,1,2021,Codex Naturalis,30,20,314503,1/2/2024,details
3394,5080,4,1031,2.1402,7.28294,2,2018,Wildlands,60,30,244654,1/2/2024,details
5179,8871,5,1145,2.9516,7.02756,2,1986,Ikusa,360,240,221,1/2/2024,details
4610,10953,5,2422,1.1448,6.42231,3,2011,Cheating Moth,30,30,105593,1/2/2024,details
